query_gene	BiGG_gene	score	gene	protein	reaction	model
	iIT341.HP0381		G_HP0381	P_HP0381	R_PPPGO	iIT341
	iIT341.HP0098		G_HP0098	P_HP0098	R_THRS	iIT341
	iIT341.HP0814		G_HP0814	P_HP0814	R_THZSN	iIT341
	iIT341.HP0121		G_HP0121	P_HP0121	R_PPS	iIT341
	iIT341.HP1088		G_HP1088	P_HP1088	R_TKT1	iIT341
	iIT341.HP1088		G_HP1088	P_HP1088	R_TKT2	iIT341
	iIT341.HP1218		G_HP1218	P_HP1218	R_PRAGSr	iIT341
	iIT341.HP1533		G_HP1533	P_HP1533	R_TMDSf	iIT341
	iIT341.HP0843		G_HP0843	P_HP0843	R_TMPPP	iIT341
	iIT341.HP0194		G_HP0194	P_HP0194	R_TPI	iIT341
	iIT341.HP0824		G_HP0824	P_HP0824+HP0825+HP1164+HP1458	R_TRDR	iIT341
	iIT341.HP0825		G_HP0825	P_HP0824+HP0825+HP1164+HP1458	R_TRDR	iIT341
	iIT341.HP1164		G_HP1164	P_HP0824+HP0825+HP1164+HP1458	R_TRDR	iIT341
	iIT341.HP1458		G_HP1458	P_HP0824+HP0825+HP1164+HP1458	R_TRDR	iIT341
	iIT341.HP1277		G_HP1277	P_HP1277+HP1278	R_TRPS1	iIT341
	iIT341.HP1277		G_HP1277	P_HP1277+HP1278	R_TRPS2	iIT341
	iIT341.HP1277		G_HP1277	P_HP1277+HP1278	R_TRPS3	iIT341
	iIT341.HP1278		G_HP1278	P_HP1277+HP1278	R_TRPS1	iIT341
	iIT341.HP1278		G_HP1278	P_HP1277+HP1278	R_TRPS2	iIT341
	iIT341.HP1278		G_HP1278	P_HP1277+HP1278	R_TRPS3	iIT341
	iIT341.HP1494		G_HP1494	P_HP1494	R_UAAGDS	iIT341
	iIT341.HP0818		G_HP0818	P_HP0818+HP0819	R_PROabc	iIT341
	iIT341.HP0819		G_HP0819	P_HP0818+HP0819	R_PROabc	iIT341
	iIT341.HP0648		G_HP0648	P_HP0648	R_UAGCVT	iIT341
	iIT341.HP1155		G_HP1155	P_HP1155	R_UAGPT3	iIT341
	iIT341.HP0936		G_HP0936	P_HP0936	R_PROt2r	iIT341
	iIT341.HP0494		G_HP0494	P_HP0494	R_UAMAGS	iIT341
	iIT341.HP0623		G_HP0623	P_HP0623	R_UAMAS	iIT341
	iIT341.HP1418		G_HP1418	P_HP1418	R_UAPGR	iIT341
	iIT341.HP0055		G_HP0055	P_HP0055	R_PROt4	iIT341
	iIT341.HP1221		G_HP1221	P_HP1221	R_UDCPDPS	iIT341
	iIT341.HP0742		G_HP0742	P_HP0742	R_PRPPS	iIT341
	iIT341.HP0360		G_HP0360	P_HP0360	R_UDPG4E	iIT341
	iIT341.HP0740		G_HP0740	P_HP0740	R_UGMDDS	iIT341
	iIT341.HP0401		G_HP0401	P_HP0401	R_PSCVT	iIT341
	iIT341.HP0777		G_HP0777	P_HP0777	R_UMPK	iIT341
	iIT341.HP1224		G_HP1224	P_HP1224	R_UPP3S	iIT341
	iIT341.HP0604		G_HP0604	P_HP0604	R_UPPDC1	iIT341
	iIT341.HP0736		G_HP0736	P_HP0736	R_PSERT	iIT341
	iIT341.HP0652		G_HP0652	P_HP0652	R_PSP_D	iIT341
	iIT341.HP0652		G_HP0652	P_HP0652	R_PSP_L	iIT341
	iIT341.HP0067		G_HP0067	P_HP0067+HP0068+HP0069+HP0070+HP0072+HP0073	R_UREA	iIT341
	iIT341.HP0068		G_HP0068	P_HP0067+HP0068+HP0069+HP0070+HP0072+HP0073	R_UREA	iIT341
	iIT341.HP0069		G_HP0069	P_HP0067+HP0068+HP0069+HP0070+HP0072+HP0073	R_UREA	iIT341
	iIT341.HP0070		G_HP0070	P_HP0067+HP0068+HP0069+HP0070+HP0072+HP0073	R_UREA	iIT341
	iIT341.HP0072		G_HP0072	P_HP0067+HP0068+HP0069+HP0070+HP0072+HP0073	R_UREA	iIT341
	iIT341.HP0073		G_HP0073	P_HP0067+HP0068+HP0069+HP0070+HP0072+HP0073	R_UREA	iIT341
	iIT341.HP0071		G_HP0071	P_HP0071	R_UREAt	iIT341
	iIT341.HP0905		G_HP0905	P_HP0905	R_PTAr	iIT341
	iIT341.HP1475		G_HP1475	P_HP1475	R_PTPATi	iIT341
	iIT341.HP1356		G_HP1356	P_HP1356	R_QULNS	iIT341
	iIT341.HP0002		G_HP0002	P_HP0002+HP1574	R_RBFSa	iIT341
	iIT341.HP0002		G_HP0002	P_HP0002+HP1574	R_RBFSb	iIT341
	iIT341.HP1574		G_HP1574	P_HP0002+HP1574	R_RBFSa	iIT341
	iIT341.HP1574		G_HP1574	P_HP0002+HP1574	R_RBFSb	iIT341
	iIT341.HP0105		G_HP0105	P_HP0105	R_RHCCE	iIT341
	iIT341.HP0364		G_HP0364	P_HP0364+HP0680	R_RNDR1	iIT341
	iIT341.HP0364		G_HP0364	P_HP0364+HP0680	R_RNDR2	iIT341
	iIT341.HP0364		G_HP0364	P_HP0364+HP0680	R_RNDR3	iIT341
	iIT341.HP0364		G_HP0364	P_HP0364+HP0680	R_RNDR4	iIT341
	iIT341.HP0680		G_HP0680	P_HP0364+HP0680	R_RNDR1	iIT341
	iIT341.HP0680		G_HP0680	P_HP0364+HP0680	R_RNDR2	iIT341
	iIT341.HP0680		G_HP0680	P_HP0364+HP0680	R_RNDR3	iIT341
	iIT341.HP0680		G_HP0680	P_HP0364+HP0680	R_RNDR4	iIT341
	iIT341.HP1386		G_HP1386	P_HP1386	R_RPE	iIT341
	iIT341.HP0574		G_HP0574	P_HP0574	R_RPI	iIT341
	iIT341.HP0212		G_HP0212	P_HP0212	R_SDPDS	iIT341
	iIT341.HP0624		G_HP0624	P_HP0624	R_SDPTA	iIT341
	iIT341.HP1210		G_HP1210	P_HP1210	R_SERAT	iIT341
	iIT341.HP0133		G_HP0133	P_HP0133	R_SERt2r	iIT341
	iIT341.HP1249		G_HP1249	P_HP1249	R_SHK3Dr	iIT341
	iAT_PLT_636.6523		G_6523	P_6523	R_H2Ot	iAT_PLT_636
	iAT_PLT_636.6523		G_6523	P_6523	R_UREAt	iAT_PLT_636
	iAT_PLT_636.4128		G_4128	P_4128	R_TRYPTAOX	iAT_PLT_636
	iAT_PLT_636.4128		G_4128	P_4128	R_PEAMNO	iAT_PLT_636
	iAT_PLT_636.4129		G_4129	P_4129	R_TRYPTAOX	iAT_PLT_636
	iAT_PLT_636.4129		G_4129	P_4129	R_PEAMNO	iAT_PLT_636
	iAT_PLT_636.9942		G_9942	P_9942	R_XYLK	iAT_PLT_636
	iAT_PLT_636.7167		G_7167	P_7167	R_TPI	iAT_PLT_636
	iAT_PLT_636.1890		G_1890	P_1890	R_TMDPP	iAT_PLT_636
	iAT_PLT_636.7086		G_7086	P_7086	R_TKT2	iAT_PLT_636
	iAT_PLT_636.7086		G_7086	P_7086	R_TKT1	iAT_PLT_636
	iAT_PLT_636.586		G_586	P_586	R_VALTA	iAT_PLT_636
	iAT_PLT_636.586		G_586	P_586	R_ILETA	iAT_PLT_636
	iAT_PLT_636.3177		G_3177	P_3177	R_THYMt	iAT_PLT_636
	iAT_PLT_636.3177		G_3177	P_3177	R_URAt	iAT_PLT_636
	iAT_PLT_636.3177		G_3177	P_3177	R_HYXNt	iAT_PLT_636
	iAT_PLT_636.64078		G_64078	P_64078	R_THMDt4	iAT_PLT_636
	iAT_PLT_636.9154		G_9154	P_9154	R_THMDt4	iAT_PLT_636
	iAT_PLT_636.206358		G_206358	P_206358	R_GLYt2r	iAT_PLT_636
	iAT_PLT_636.83549		G_83549	P_83549	R_URIK1	iAT_PLT_636
	iAT_PLT_636.6528		G_6528	P_6528	R_UREAt	iAT_PLT_636
	iAT_PLT_636.6563		G_6563	P_6563	R_UREAt	iAT_PLT_636
	iAT_PLT_636.8170		G_8170	P_8170	R_UREAt	iAT_PLT_636
	iAT_PLT_636.6888		G_6888	P_6888	R_TALA	iAT_PLT_636
	iAT_PLT_636.51733		G_51733	P_51733	R_UPPN	iAT_PLT_636
	iAT_PLT_636.7389		G_7389	P_7389	R_UPPDC1	iAT_PLT_636
	iAT_PLT_636.7390		G_7390	P_7390	R_UPP3S	iAT_PLT_636
	iAT_PLT_636.51727		G_51727	P_51727	R_UMPK	iAT_PLT_636
	iAT_PLT_636.51727		G_51727	P_51727	R_CPK1	iAT_PLT_636
	iAT_PLT_636.51727		G_51727	P_51727	R_CYTK1	iAT_PLT_636
	iAT_PLT_636.2592		G_2592	P_2592	R_UGLT	iAT_PLT_636
	iAT_PLT_636.2592		G_2592	P_2592	R_GALT	iAT_PLT_636
	iAT_PLT_636.2582		G_2582	P_2582	R_UDPG4E	iAT_PLT_636
	iAT_PLT_636.117247		G_117247	P_117247	R_TYRt	iAT_PLT_636
	iAT_PLT_636.117247		G_117247	P_117247	R_PHEtec	iAT_PLT_636
	iAT_PLT_636.2805		G_2805	P_2805	R_TYRTA	iAT_PLT_636
	iAT_PLT_636.2805		G_2805	P_2805	R_CYSTA	iAT_PLT_636
	iAT_PLT_636.2805		G_2805	P_2805	R_ASPTA	iAT_PLT_636
	iAT_PLT_636.6647		G_6647	P_6647	R_SPODM	iAT_PLT_636
	iAT_PLT_636.2098		G_2098	P_2098	R_SFGTHi	iAT_PLT_636
	iAT_PLT_636.6652		G_6652	P_6652	R_SBTD_D2	iAT_PLT_636
	iAT_PLT_636.9060		G_9060	P_9060	R_SADT	iAT_PLT_636
	iAT_PLT_636.9060		G_9060	P_9060	R_ADSK	iAT_PLT_636
	iAT_PLT_636.9061		G_9061	P_9061	R_SADT	iAT_PLT_636
	iAT_PLT_636.9061		G_9061	P_9061	R_ADSK	iAT_PLT_636
	iAT_PLT_636.5236		G_5236	P_5236	R_PPM	iAT_PLT_636
	iAT_PLT_636.5236		G_5236	P_5236	R_PGMT	iAT_PLT_636
	iAT_PLT_636.22934		G_22934	P_22934	R_RPI	iAT_PLT_636
	iAT_PLT_636.54981		G_54981	P_54981	R_RNMK	iAT_PLT_636
	iAT_PLT_636.10327		G_10327	P_10327	R_PPDOy	iAT_PLT_636
	iAT_PLT_636.10327		G_10327	P_10327	R_ALR3	iAT_PLT_636
	iAT_PLT_636.10327		G_10327	P_10327	R_ALR2	iAT_PLT_636
	iAT_PLT_636.231		G_231	P_231	R_PPDOy	iAT_PLT_636
	iAT_PLT_636.231		G_231	P_231	R_ALR3	iAT_PLT_636
	iAT_PLT_636.231		G_231	P_231	R_ALR2	iAT_PLT_636
	iAT_PLT_636.8574		G_8574	P_8574	R_PPDOy	iAT_PLT_636
	iAT_PLT_636.8574		G_8574	P_8574	R_LCARR	iAT_PLT_636
	iAT_PLT_636.8574		G_8574	P_8574	R_ALR3	iAT_PLT_636
	iAT_PLT_636.8574		G_8574	P_8574	R_ALR2	iAT_PLT_636
	iAT_PLT_636.8574		G_8574	P_8574	R_LALDO2x	iAT_PLT_636
	iAT_PLT_636.9123		G_9123	P_9123	R_PYRt2	iAT_PLT_636
	iAT_PLT_636.9123		G_9123	P_9123	R_L_LACt2r	iAT_PLT_636
	iAT_PLT_636.9194		G_9194	P_9194	R_PYRt2	iAT_PLT_636
	iAT_PLT_636.9194		G_9194	P_9194	R_L_LACt2r	iAT_PLT_636
	iAT_PLT_636.151531		G_151531	P_151531	R_PYNP2r	iAT_PLT_636
	iAT_PLT_636.7378		G_7378	P_7378	R_PYNP2r	iAT_PLT_636
	iAT_PLT_636.5313		G_5313	P_5313	R_PYK	iAT_PLT_636
	iAT_PLT_636.5315		G_5315	P_5315	R_PYK	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PUNP7	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PNP	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PUNP6	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PUNP5	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PUNP3	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PUNP2	iAT_PLT_636
	iAT_PLT_636.4860		G_4860	P_4860	R_PUNP1	iAT_PLT_636
	iAT_PLT_636.210		G_210	P_210	R_PPBNGS	iAT_PLT_636
	iAT_PLT_636.5464		G_5464	P_5464	R_PPA	iAT_PLT_636
	iAT_PLT_636.1644		G_1644	P_1644	R_PHYCBOXL	iAT_PLT_636
	iAT_PLT_636.1644		G_1644	P_1644	R_3HLYTCL	iAT_PLT_636
	iAT_PLT_636.1644		G_1644	P_1644	R_LTDCL	iAT_PLT_636
	iAT_PLT_636.124935		G_124935	P_124935	R_PHEtec	iAT_PLT_636
	iAT_PLT_636.221823		G_221823	P_221823	R_PRPPS	iAT_PLT_636
	iAT_PLT_636.5631		G_5631	P_5631	R_PRPPS	iAT_PLT_636
	iAT_PLT_636.5634		G_5634	P_5634	R_PRPPS	iAT_PLT_636
	iAT_PLT_636.113235		G_113235	P_113235	R_PHEMEt	iAT_PLT_636
	iAT_PLT_636.5198		G_5198	P_5198	R_PRFGS	iAT_PLT_636
	iAT_PLT_636.55276		G_55276	P_55276	R_PGMT	iAT_PLT_636
	iAT_PLT_636.5223		G_5223	P_5223	R_PGM	iAT_PLT_636
	iAT_PLT_636.5224		G_5224	P_5224	R_PGM	iAT_PLT_636
	iAT_PLT_636.669		G_669	P_669	R_PGM	iAT_PLT_636
	iAT_PLT_636.8288		G_8288	P_8288	R_PRDX	iAT_PLT_636
	iAT_PLT_636.25796		G_25796	P_25796	R_PGL	iAT_PLT_636
	iAT_PLT_636.5230		G_5230	P_5230	R_PGK	iAT_PLT_636
	iAT_PLT_636.5232		G_5232	P_5232	R_PGK	iAT_PLT_636
	iAT_PLT_636.10606		G_10606	P_10606	R_PRASCSi	iAT_PLT_636
	iAT_PLT_636.10606		G_10606	P_10606	R_AIRCr	iAT_PLT_636
	iAT_PLT_636.2618		G_2618	P_2618	R_PRAIS	iAT_PLT_636
	iAT_PLT_636.2618		G_2618	P_2618	R_PRAGSr	iAT_PLT_636
	iAT_PLT_636.2618		G_2618	P_2618	R_GARFT	iAT_PLT_636
	iAT_PLT_636.2821		G_2821	P_2821	R_PGI	iAT_PLT_636
	iAT_PLT_636.5211		G_5211	P_5211	R_PFK	iAT_PLT_636
	iAT_PLT_636.5211		G_5211	P_5211+5213	R_PFK	iAT_PLT_636
	iAT_PLT_636.5211		G_5211	P_5211+5214	R_PFK	iAT_PLT_636
	iAT_PLT_636.5213		G_5213	P_5213	R_PFK	iAT_PLT_636
	iAT_PLT_636.5213		G_5213	P_5211+5213	R_PFK	iAT_PLT_636
	iAT_PLT_636.5213		G_5213	P_5213+5214	R_PFK	iAT_PLT_636
	iAT_PLT_636.5214		G_5214	P_5214	R_PFK	iAT_PLT_636
	iAT_PLT_636.5214		G_5214	P_5211+5214	R_PFK	iAT_PLT_636
	iAT_PLT_636.5214		G_5214	P_5213+5214	R_PFK	iAT_PLT_636
	iAT_PLT_636.10846		G_10846	P_10846	R_PDE4	iAT_PLT_636
	iAT_PLT_636.50940		G_50940	P_50940	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5136		G_5136	P_5136	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5137		G_5137	P_5137	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5138		G_5138	P_5138	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5139		G_5139	P_5139	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5139		G_5139	P_5139	R_PDE1	iAT_PLT_636
	iAT_PLT_636.5140		G_5140	P_5140	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5146		G_5146	P_5146	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5146		G_5146	P_5145+5146+5147+5148+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5147		G_5147	P_5147	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5147		G_5147	P_5145+5146+5147+5148+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5148		G_5148	P_5148	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5148		G_5148	P_5145+5146+5147+5148+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5152		G_5152	P_5152	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5153		G_5153	P_5153	R_PDE4	iAT_PLT_636
	iAT_PLT_636.8654		G_8654	P_8654	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5145		G_5145	P_5145+5149+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5145		G_5145	P_5145+5146+5147+5148+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5149		G_5149	P_5145+5149+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5158		G_5158	P_5145+5149+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5158		G_5158	P_5145+5146+5147+5148+5158	R_PDE4	iAT_PLT_636
	iAT_PLT_636.5144		G_5144	P_5144	R_PDE1	iAT_PLT_636
	iAT_PLT_636.6541		G_6541	P_6541	R_ORNt	iAT_PLT_636
	iAT_PLT_636.6541		G_6541	P_6541	R_ARGt5r	iAT_PLT_636
	iAT_PLT_636.6541		G_6541	P_6541	R_LYSt5r	iAT_PLT_636
	iAT_PLT_636.26873		G_26873	P_26873	R_OPAH	iAT_PLT_636
	iAT_PLT_636.51251		G_51251	P_51251	R_NTD4	iAT_PLT_636
	iAT_PLT_636.51251		G_51251	P_51251	R_NTD2	iAT_PLT_636
	iAT_PLT_636.22978		G_22978	P_22978	R_NTD11	iAT_PLT_636
	iAT_PLT_636.22978		G_22978	P_22978	R_NTD10	iAT_PLT_636
	iAT_PLT_636.93034		G_93034	P_93034	R_NTD11	iAT_PLT_636
	iAT_PLT_636.2987		G_2987	P_2987	R_GK1	iAT_PLT_636
	iAT_PLT_636.6470		G_6470	P_6470	R_GHMT2r	iAT_PLT_636
	iAT_PLT_636.2023		G_2023	P_2023	R_ENO	iAT_PLT_636
	iAT_PLT_636.2026		G_2026	P_2026	R_ENO	iAT_PLT_636
	iAT_PLT_636.2027		G_2027	P_2027	R_ENO	iAT_PLT_636
	iAT_PLT_636.2597		G_2597	P_2597	R_GAPD	iAT_PLT_636
	iAT_PLT_636.23057		G_23057	P_23057	R_NMNAT	iAT_PLT_636
	iAT_PLT_636.349565		G_349565	P_349565	R_NMNAT	iAT_PLT_636
	iAT_PLT_636.10201		G_10201	P_10201	R_NDPK3	iAT_PLT_636
	iAT_PLT_636.10201		G_10201	P_10201	R_NDPK2	iAT_PLT_636
	iAT_PLT_636.10201		G_10201	P_10201	R_NDPK1	iAT_PLT_636
	iAT_PLT_636.29922		G_29922	P_29922	R_NDPK3	iAT_PLT_636
	iAT_PLT_636.29922		G_29922	P_29922	R_NDPK2	iAT_PLT_636
	iAT_PLT_636.29922		G_29922	P_29922	R_NDPK1	iAT_PLT_636
	iAT_PLT_636.4832		G_4832	P_4832	R_NDPK3	iAT_PLT_636
	iAT_PLT_636.4832		G_4832	P_4832	R_NDPK2	iAT_PLT_636
	iAT_PLT_636.4832		G_4832	P_4832	R_NDPK1	iAT_PLT_636
	iAT_PLT_636.4830		G_4830	P_4830+4831	R_NDPK3	iAT_PLT_636
	iAT_PLT_636.4830		G_4830	P_4830+4831	R_NDPK2	iAT_PLT_636
	iAT_PLT_636.4830		G_4830	P_4830+4831	R_NDPK1	iAT_PLT_636
	iAT_PLT_636.4831		G_4831	P_4830+4831	R_NDPK3	iAT_PLT_636
	iAT_PLT_636.4831		G_4831	P_4830+4831	R_NDPK2	iAT_PLT_636
	iAT_PLT_636.4831		G_4831	P_4830+4831	R_NDPK1	iAT_PLT_636
	iAT_PLT_636.7360		G_7360	P_7360	R_GALUi	iAT_PLT_636
	iAT_PLT_636.2584		G_2584	P_2584	R_GALKr	iAT_PLT_636
	iAT_PLT_636.1806		G_1806	P_1806	R_DURAD	iAT_PLT_636
	iAT_PLT_636.2539		G_2539	P_2539	R_G6PDH2r	iAT_PLT_636
	iAT_PLT_636.64080		G_64080	P_64080	R_DRBK	iAT_PLT_636
	iAT_PLT_636.2819		G_2819	P_2819	R_G3PD1ir	iAT_PLT_636
	iAT_PLT_636.2184		G_2184	P_2184	R_FUMAC	iAT_PLT_636
	iAT_PLT_636.4522		G_4522	P_4522	R_FTHFLi	iAT_PLT_636
	iAT_PLT_636.4522		G_4522	P_4522	R_MTHFD	iAT_PLT_636
	iAT_PLT_636.4522		G_4522	P_4522	R_MTHFC	iAT_PLT_636
	iAT_PLT_636.4524		G_4524	P_4524	R_MTHFR3	iAT_PLT_636
	iAT_PLT_636.1808		G_1808	P_1808	R_DHPM1	iAT_PLT_636
	iAT_PLT_636.100		G_100	P_100	R_DADA	iAT_PLT_636
	iAT_PLT_636.100		G_100	P_100	R_ADA	iAT_PLT_636
	iAT_PLT_636.2203		G_2203	P_2203	R_FBP	iAT_PLT_636
	iAT_PLT_636.8789		G_8789	P_8789	R_FBP	iAT_PLT_636
	iAT_PLT_636.226		G_226	P_226	R_FBA2	iAT_PLT_636
	iAT_PLT_636.226		G_226	P_226	R_FBA	iAT_PLT_636
	iAT_PLT_636.230		G_230	P_230	R_FBA2	iAT_PLT_636
	iAT_PLT_636.230		G_230	P_230	R_FBA	iAT_PLT_636
	iAT_PLT_636.2180		G_2180	P_2180	R_FACOAL1821	iAT_PLT_636
	iAT_PLT_636.2180		G_2180	P_2180	R_FACOAL181	iAT_PLT_636
	iAT_PLT_636.2180		G_2180	P_2180	R_FACOAL180	iAT_PLT_636
	iAT_PLT_636.2180		G_2180	P_2180	R_FACOAL160	iAT_PLT_636
	iAT_PLT_636.2181		G_2181	P_2181	R_FACOAL181	iAT_PLT_636
	iAT_PLT_636.2181		G_2181	P_2181	R_FACOAL180	iAT_PLT_636
	iAT_PLT_636.2181		G_2181	P_2181	R_FACOAL160	iAT_PLT_636
	iAT_PLT_636.51703		G_51703	P_51703	R_FACOAL180	iAT_PLT_636
	iAT_PLT_636.51703		G_51703	P_51703	R_FACOAL160	iAT_PLT_636
	iAT_PLT_636.2937		G_2937	P_2937	R_GTHS	iAT_PLT_636
	iAT_PLT_636.257202		G_257202	P_257202	R_GTHPe	iAT_PLT_636
	iAT_PLT_636.2878		G_2878	P_2878	R_GTHPe	iAT_PLT_636
	iAT_PLT_636.2876		G_2876	P_2876	R_GTHPi	iAT_PLT_636
	iAT_PLT_636.2879		G_2879	P_2879	R_GTHPi	iAT_PLT_636
	iAT_PLT_636.5052		G_5052	P_5052	R_GTHPi	iAT_PLT_636
	iAT_PLT_636.7001		G_7001	P_7001	R_GTHPi	iAT_PLT_636
	iAT_PLT_636.445		G_445	P_445	R_ARGSS	iAT_PLT_636
	iAT_PLT_636.435		G_435	P_435	R_ARGSL	iAT_PLT_636
	iAT_PLT_636.2936		G_2936	P_2936	R_GTHOr	iAT_PLT_636
	iAT_PLT_636.383		G_383	P_383	R_ARGN	iAT_PLT_636
	iAT_PLT_636.5226		G_5226	P_5226	R_GND	iAT_PLT_636
	iAT_PLT_636.2766		G_2766	P_2766	R_GMPR	iAT_PLT_636
	iAT_PLT_636.51292		G_51292	P_51292	R_GMPR	iAT_PLT_636
	iAT_PLT_636.3029		G_3029	P_3029	R_GLYOX	iAT_PLT_636
	iAT_PLT_636.2710		G_2710	P_2710	R_GLYK	iAT_PLT_636
	iAT_PLT_636.2712		G_2712	P_2712	R_GLYK	iAT_PLT_636
	iAT_PLT_636.223		G_223	P_223	R_ALDD2y	iAT_PLT_636
	iAT_PLT_636.223		G_223	P_223	R_ALDD2x	iAT_PLT_636
	iAT_PLT_636.223		G_223	P_223	R_ALDD20x	iAT_PLT_636
	iAT_PLT_636.223		G_223	P_223	R_LCADi	iAT_PLT_636
	iAT_PLT_636.224		G_224	P_224	R_ALDD2y	iAT_PLT_636
	iAT_PLT_636.224		G_224	P_224	R_ALDD2x	iAT_PLT_636
	iAT_PLT_636.224		G_224	P_224	R_ALDD20x	iAT_PLT_636
	iAT_PLT_636.224		G_224	P_224	R_LCADi	iAT_PLT_636
	iAT_PLT_636.216		G_216	P_216	R_ALDD2x	iAT_PLT_636
	iAT_PLT_636.216		G_216	P_216	R_ALDD20x	iAT_PLT_636
	iAT_PLT_636.216		G_216	P_216	R_LCADi	iAT_PLT_636
	iAT_PLT_636.1371		G_1371	P_1371	R_CPPPGO	iAT_PLT_636
	iAT_PLT_636.218		G_218	P_218	R_ALDD19xr	iAT_PLT_636
	iAT_PLT_636.220		G_220	P_220	R_ALDD19xr	iAT_PLT_636
	iAT_PLT_636.221		G_221	P_221	R_ALDD19xr	iAT_PLT_636
	iAT_PLT_636.222		G_222	P_222	R_ALDD19xr	iAT_PLT_636
	iAT_PLT_636.124		G_124	P_124	R_LCARS	iAT_PLT_636
	iAT_PLT_636.124		G_124	P_124+125	R_LCARS	iAT_PLT_636
	iAT_PLT_636.124		G_124	P_124+126	R_LCARS	iAT_PLT_636
	iAT_PLT_636.124		G_124	P_124	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.124		G_124	P_124+125	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.124		G_124	P_124+126	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.125		G_125	P_125	R_LCARS	iAT_PLT_636
	iAT_PLT_636.125		G_125	P_124+125	R_LCARS	iAT_PLT_636
	iAT_PLT_636.125		G_125	P_125+126	R_LCARS	iAT_PLT_636
	iAT_PLT_636.125		G_125	P_125	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.125		G_125	P_124+125	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.125		G_125	P_125+126	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.126		G_126	P_126	R_LCARS	iAT_PLT_636
	iAT_PLT_636.126		G_126	P_124+126	R_LCARS	iAT_PLT_636
	iAT_PLT_636.126		G_126	P_125+126	R_LCARS	iAT_PLT_636
	iAT_PLT_636.126		G_126	P_126	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.126		G_126	P_124+126	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.126		G_126	P_125+126	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.127		G_127	P_127	R_LCARS	iAT_PLT_636
	iAT_PLT_636.127		G_127	P_127	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.128		G_128	P_128	R_LCARS	iAT_PLT_636
	iAT_PLT_636.128		G_128	P_128	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.130		G_130	P_130	R_LCARS	iAT_PLT_636
	iAT_PLT_636.130		G_130	P_130	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.131		G_131	P_131	R_LCARS	iAT_PLT_636
	iAT_PLT_636.131		G_131	P_131	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.137872		G_137872	P_137872	R_LCARS	iAT_PLT_636
	iAT_PLT_636.137872		G_137872	P_137872	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.284273		G_284273	P_284273	R_LCARS	iAT_PLT_636
	iAT_PLT_636.284273		G_284273	P_284273	R_ALCD1	iAT_PLT_636
	iAT_PLT_636.2875		G_2875	P_2875	R_ALATA_L	iAT_PLT_636
	iAT_PLT_636.84706		G_84706	P_84706	R_ALATA_L	iAT_PLT_636
	iAT_PLT_636.5471		G_5471	P_5471	R_GLUPRT	iAT_PLT_636
	iAT_PLT_636.471		G_471	P_471	R_AICART	iAT_PLT_636
	iAT_PLT_636.471		G_471	P_471	R_IMPC	iAT_PLT_636
	iAT_PLT_636.490		G_490	P_490	R_CAATPS	iAT_PLT_636
	iAT_PLT_636.493		G_493	P_493	R_CAATPS	iAT_PLT_636
	iAT_PLT_636.191		G_191	P_191	R_AHCi	iAT_PLT_636
	iAT_PLT_636.122622		G_122622	P_122622	R_ADSS	iAT_PLT_636
