protein	reaction	model	GPR	score
P_Gmet_1105	R_Kt3pp	iAF987		0.0
P_Gmet_1122	R_MCITL2	iAF987		0.0
P_Gmet_1123	R_MCITD	iAF987		0.0
P_Gmet_1124	R_MCITS	iAF987		0.0
P_Gmet_1125	R_PPCSCT	iAF987		0.0
P_Gmet_1159	R_GALUi	iAF987		0.0
P_Gmet_1160	R_MTHFR	iAF987		0.0
P_Gmet_1160	R_MTHFR3	iAF987		0.0
P_Gmet_1162	R_MTHFC	iAF987		0.0
P_Gmet_1162	R_MTHFD	iAF987		0.0
P_Gmet_1167	R_AMMQLT8	iAF987		0.0
P_Gmet_1170	R_ADPRDP	iAF987		0.0
P_Gmet_1170	R_DNTPPA	iAF987		0.0
P_Gmet_1179	R_FTHFCL	iAF987		0.0
P_Gmet_1186	R_GLUDy	iAF987		0.0
P_Gmet_1188	R_AGM3PA	iAF987		0.0
P_Gmet_1188	R_AGM3PApp	iAF987		0.0
P_Gmet_1188	R_AGM4PA	iAF987		0.0
P_Gmet_1188	R_AGM4PApp	iAF987		0.0
P_Gmet_1188	R_AM3PA	iAF987		0.0
P_Gmet_1188	R_AM4PA	iAF987		0.0
P_Gmet_1189	R_MGt2pp	iAF987		0.0
P_Gmet_1211	R_GAPD	iAF987		0.0
P_Gmet_1238	R_MLDEP1pp	iAF987		0.0
P_Gmet_1238	R_MLDEP2pp	iAF987		0.0
P_Gmet_1242	R_HCO3E	iAF987		0.0
P_Gmet_1252	R_UMPK	iAF987		0.0
P_Gmet_1254	R_UDCPDPS	iAF987		0.0
P_Gmet_1255	R_DASYN120	iAF987		0.0
P_Gmet_1255	R_DASYN140	iAF987		0.0
P_Gmet_1255	R_DASYN141	iAF987		0.0
P_Gmet_1255	R_DASYN160	iAF987		0.0
P_Gmet_1255	R_DASYN161	iAF987		0.0
P_Gmet_1255	R_DASYN180	iAF987		0.0
P_Gmet_1255	R_DASYN181	iAF987		0.0
P_Gmet_1256	R_DXPRIi	iAF987		0.0
P_Gmet_1259	R_DHAD1	iAF987		0.0
P_Gmet_1259	R_DHAD2	iAF987		0.0
P_Gmet_1260+Gmet_1261	R_ACHBS	iAF987		0.0
P_Gmet_1260+Gmet_1261	R_ACLS	iAF987		0.0
P_Gmet_1262	R_KARA1	iAF987		0.0
P_Gmet_1262	R_KARA2	iAF987		0.0
P_Gmet_1263	R_PSD120	iAF987		0.0
P_Gmet_1263	R_PSD141	iAF987		0.0
P_Gmet_1263	R_PSD161	iAF987		0.0
P_Gmet_1264	R_PSSA120	iAF987		0.0
P_Gmet_1264	R_PSSA141	iAF987		0.0
P_Gmet_1264	R_PSSA161	iAF987		0.0
P_Gmet_1265	R_IPPS	iAF987		0.0
P_Gmet_1268+Gmet_1269	R_IPPMIa	iAF987		0.0
P_Gmet_1268+Gmet_1269	R_IPPMIb	iAF987		0.0
P_Gmet_1274	R_PUNP1	iAF987		0.0
P_Gmet_1276	R_CTPS1	iAF987		0.0
P_Gmet_1276	R_CTPS2	iAF987		0.0
P_Gmet_1290	R_METAT	iAF987		0.0
P_Gmet_1294	R_AHCi	iAF987		0.0
P_Gmet_1297	R_RNDR1	iAF987		0.0
P_Gmet_1297	R_RNDR2	iAF987		0.0
P_Gmet_1297	R_RNDR3	iAF987		0.0
P_Gmet_1297	R_RNDR4	iAF987		0.0
P_Gmet_1298	R_DGUNC	iAF987		0.0
P_Gmet_1300	R_CYSLY3	iAF987		0.0
P_Gmet_1300	R_SELCYSLY3	iAF987		0.0
P_Gmet_1350	R_MLDEP1pp	iAF987		0.0
P_Gmet_1350	R_MLDEP2pp	iAF987		0.0
P_Gmet_1352	R_GLNS	iAF987		0.0
P_Gmet_1355	R_OMPDC	iAF987		0.0
P_Gmet_1359	R_ICDHyr	iAF987		0.0
P_Gmet_1360	R_MDH	iAF987		0.0
P_Gmet_1365	R_CDGUNPD	iAF987		0.0
P_Gmet_1377	R_MLTGY1pp	iAF987		0.0
P_Gmet_1377	R_MLTGY2pp	iAF987		0.0
P_Gmet_1377	R_MLTGY3pp	iAF987		0.0
P_Gmet_1377	R_MLTGY4pp	iAF987		0.0
P_Gmet_1388	R_FMNAT	iAF987		0.0
P_Gmet_1388	R_RBFK	iAF987		0.0
P_Gmet_1392	R_SHK3Dr	iAF987		0.0
P_Gmet_1419	R_BPNT	iAF987		0.0
P_Gmet_1419	R_PPA	iAF987		0.0
P_Gmet_1419	R_PPA2	iAF987		0.0
P_Gmet_1422	R_ADPT	iAF987		0.0
P_Gmet_1425	R_AGM3PA	iAF987		0.0
P_Gmet_1425	R_AGM3PApp	iAF987		0.0
P_Gmet_1425	R_AGM4PA	iAF987		0.0
P_Gmet_1425	R_AGM4PApp	iAF987		0.0
P_Gmet_1425	R_AM3PA	iAF987		0.0
P_Gmet_1425	R_AM4PA	iAF987		0.0
P_Gmet_1428	R_PGM	iAF987		0.0
P_Gmet_1469	R_FACOAL100t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL120t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL140t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL141t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL160t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL161t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL180t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL181t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL60t2pp	iAF987		0.0
P_Gmet_1469	R_FACOAL80t2pp	iAF987		0.0
P_Gmet_1483	R_PSD120	iAF987		0.0
P_Gmet_1483	R_PSD141	iAF987		0.0
P_Gmet_1483	R_PSD161	iAF987		0.0
P_Gmet_1486	R_UDPG4E	iAF987		0.0
P_Gmet_1487	R_GF6PTA	iAF987		0.0
P_Gmet_1521+Gmet_1522	R_BZSCT	iAF987		0.0
P_Gmet_1523	R_BZSCD	iAF987		0.0
P_Gmet_1524	R_PICH	iAF987		0.0
P_Gmet_1525+Gmet_1526+Gmet_1527	R_FADMQOR	iAF987		0.0
P_Gmet_1528+Gmet_1529	R_BSCT	iAF987		0.0
P_Gmet_1530+Gmet_1531	R_HMPSCD	iAF987		0.0
P_Gmet_1535	R_DDCAtexi	iAF987		0.0
P_Gmet_1535	R_HDCAtexi	iAF987		0.0
P_Gmet_1535	R_HDCEAtexi	iAF987		0.0
P_Gmet_1535	R_OCDCAtexi	iAF987		0.0
P_Gmet_1535	R_OCDCEAtexi	iAF987		0.0
P_Gmet_1535	R_TTDCAtexi	iAF987		0.0
P_Gmet_1535	R_TTDCEAtexi	iAF987		0.0
P_Gmet_1538+Gmet_1539+Gmet_1540+Gmet_1541	R_BZSS	iAF987		0.0
P_Gmet_1547+Gmet_1548+Gmet_1549+Gmet_3071	R_CD2t4pp	iAF987		0.0
P_Gmet_1547+Gmet_1548+Gmet_1549+Gmet_3071	R_COBALTt4pp	iAF987		0.0
P_Gmet_1547+Gmet_1548+Gmet_1549+Gmet_3071	R_FE2t4pp	iAF987		0.0
P_Gmet_1547+Gmet_1548+Gmet_1549+Gmet_3071	R_NI2t4pp	iAF987		0.0
P_Gmet_1547+Gmet_1548+Gmet_1549+Gmet_3071	R_ZN2t4pp	iAF987		0.0
P_Gmet_1558	R_CYSS	iAF987		0.0
P_Gmet_1560	R_CDGUNPD	iAF987		0.0
P_Gmet_1566	R_AHSERL2	iAF987		0.0
P_Gmet_1570+Gmet_3222	R_SULR	iAF987		0.0
P_Gmet_1572	R_CTECOAI6	iAF987		0.0
P_Gmet_1572	R_CTECOAI7	iAF987		0.0
P_Gmet_1572	R_CTECOAI8	iAF987		0.0
P_Gmet_1572	R_ECOAH1	iAF987		0.0
P_Gmet_1572	R_ECOAH2	iAF987		0.0
P_Gmet_1572	R_ECOAH3	iAF987		0.0
P_Gmet_1572	R_ECOAH4	iAF987		0.0
P_Gmet_1572	R_ECOAH5	iAF987		0.0
P_Gmet_1572	R_ECOAH6	iAF987		0.0
P_Gmet_1572	R_ECOAH7	iAF987		0.0
P_Gmet_1572	R_ECOAH8	iAF987		0.0
P_Gmet_1572	R_VECOAH	iAF987		0.0
P_Gmet_1574+Gmet_3251	R_IBTMr	iAF987		0.0
P_Gmet_1574+Gmet_3251	R_MMM2	iAF987		0.0
P_Gmet_1575	R_CTECOAI6	iAF987		0.0
P_Gmet_1575	R_CTECOAI7	iAF987		0.0
P_Gmet_1575	R_CTECOAI8	iAF987		0.0
P_Gmet_1575	R_ECOAH1	iAF987		0.0
P_Gmet_1575	R_ECOAH2	iAF987		0.0
P_Gmet_1575	R_ECOAH3	iAF987		0.0
P_Gmet_1575	R_ECOAH4	iAF987		0.0
P_Gmet_1575	R_ECOAH5	iAF987		0.0
P_Gmet_1575	R_ECOAH6	iAF987		0.0
P_Gmet_1575	R_ECOAH7	iAF987		0.0
P_Gmet_1575	R_ECOAH8	iAF987		0.0
P_Gmet_1575	R_VECOAH	iAF987		0.0
P_Gmet_1580	R_AMAOTr	iAF987		0.0
P_Gmet_1581	R_DBTS	iAF987		0.0
P_Gmet_1593	R_DUTPDP	iAF987		0.0
P_Gmet_1598	R_ACPPAT120	iAF987		0.0
P_Gmet_1598	R_ACPPAT141	iAF987		0.0
P_Gmet_1598	R_ACPPAT161	iAF987		0.0
P_Gmet_1600	R_MCOATA	iAF987		0.0
P_Gmet_1604	R_RPI	iAF987		0.0
P_Gmet_1605	R_GHMT2r	iAF987		0.0
P_Gmet_1613	R_2AGPEAT120	iAF987		0.0
P_Gmet_1613	R_2AGPEAT140	iAF987		0.0
P_Gmet_1613	R_2AGPEAT141	iAF987		0.0
P_Gmet_1613	R_2AGPEAT160	iAF987		0.0
P_Gmet_1613	R_2AGPEAT161	iAF987		0.0
P_Gmet_1613	R_2AGPEAT180	iAF987		0.0
P_Gmet_1613	R_2AGPEAT181	iAF987		0.0
P_Gmet_1613	R_2AGPGAT120	iAF987		0.0
P_Gmet_1613	R_2AGPGAT140	iAF987		0.0
P_Gmet_1613	R_2AGPGAT141	iAF987		0.0
P_Gmet_1613	R_2AGPGAT160	iAF987		0.0
P_Gmet_1613	R_2AGPGAT161	iAF987		0.0
P_Gmet_1613	R_2AGPGAT180	iAF987		0.0
P_Gmet_1613	R_2AGPGAT181	iAF987		0.0
P_Gmet_1613	R_AACPS2	iAF987		0.0
P_Gmet_1613	R_AACPS4	iAF987		0.0
P_Gmet_1613	R_AACPS7	iAF987		0.0
P_Gmet_1613	R_AACPS9	iAF987		0.0
P_Gmet_1614	R_MG2uabcpp	iAF987		0.0
P_Gmet_1622	R_CMPDAi	iAF987		0.0
P_Gmet_1622	R_DCMPDA	iAF987		0.0
P_Gmet_1624	R_APRAUR	iAF987		0.0
P_Gmet_1624	R_DHPPDA2	iAF987		0.0
P_Gmet_1625+Gmet_1627	R_RBFSa	iAF987		0.0
P_Gmet_1625+Gmet_1627	R_RBFSb	iAF987		0.0
P_Gmet_1626	R_DB4PS	iAF987		0.0
P_Gmet_1626	R_GTPCII2	iAF987		0.0
P_Gmet_1629	R_HSDy	iAF987		0.0
P_Gmet_1630	R_PSP_L	iAF987		0.0
P_Gmet_1630	R_STPT1	iAF987		0.0
P_Gmet_1630	R_STPT2	iAF987		0.0
P_Gmet_1631	R_THRS	iAF987		0.0
P_Gmet_1637	R_ME2	iAF987		0.0
P_Gmet_1639	R_HEX1	iAF987		0.0
P_Gmet_1640	R_PFK	iAF987		0.0
P_Gmet_1642	R_MOHMT	iAF987		0.0
P_Gmet_1643	R_PANTS	iAF987		0.0
P_Gmet_1644	R_ASP1DC	iAF987		0.0
P_Gmet_1653	R_PGM	iAF987		0.0
P_Gmet_1671	R_MPTG	iAF987		0.0
P_Gmet_1676	R_GLYK	iAF987		0.0
P_Gmet_1677	R_G3PD	iAF987		0.0
P_Gmet_1681	R_MLDEP1pp	iAF987		0.0
P_Gmet_1681	R_MLDEP2pp	iAF987		0.0
P_Gmet_1691	R_MCOATA	iAF987		0.0
P_Gmet_1697	R_3HAD80	iAF987		0.0
P_Gmet_1706	R_DGUNC	iAF987		0.0
P_Gmet_1710	R_ACOAD1f	iAF987		0.0
P_Gmet_1710	R_ACOAD2f	iAF987		0.0
P_Gmet_1710	R_ACOAD3f	iAF987		0.0
P_Gmet_1710	R_ACOAD4f	iAF987		0.0
P_Gmet_1710	R_ACOAD5f	iAF987		0.0
P_Gmet_1710	R_ACOAD6f	iAF987		0.0
P_Gmet_1710	R_ACOAD7f	iAF987		0.0
P_Gmet_1710	R_ACOAD8f	iAF987		0.0
P_Gmet_1710	R_VCOAD	iAF987		0.0
P_Gmet_1712+Gmet_1713+Gmet_1714	R_FADMQOR	iAF987		0.0
P_Gmet_1715	R_ACOAD1f	iAF987		0.0
P_Gmet_1715	R_ACOAD2f	iAF987		0.0
P_Gmet_1715	R_ACOAD3f	iAF987		0.0
P_Gmet_1715	R_ACOAD4f	iAF987		0.0
P_Gmet_1715	R_ACOAD5f	iAF987		0.0
P_Gmet_1715	R_ACOAD6f	iAF987		0.0
P_Gmet_1715	R_ACOAD7f	iAF987		0.0
P_Gmet_1715	R_ACOAD8f	iAF987		0.0
P_Gmet_1715	R_VCOAD	iAF987		0.0
P_Gmet_1716	R_CTECOAI6	iAF987		0.0
P_Gmet_1716	R_CTECOAI7	iAF987		0.0
P_Gmet_1716	R_CTECOAI8	iAF987		0.0
P_Gmet_1716	R_ECOAH1	iAF987		0.0
P_Gmet_1716	R_ECOAH2	iAF987		0.0
P_Gmet_1716	R_ECOAH3	iAF987		0.0
P_Gmet_1716	R_ECOAH4	iAF987		0.0
P_Gmet_1716	R_ECOAH5	iAF987		0.0
P_Gmet_1716	R_ECOAH6	iAF987		0.0
P_Gmet_1716	R_ECOAH7	iAF987		0.0
P_Gmet_1716	R_ECOAH8	iAF987		0.0
P_Gmet_1716	R_VECOAH	iAF987		0.0
P_Gmet_1717	R_HACD1	iAF987		0.0
P_Gmet_1717	R_HACD2	iAF987		0.0
P_Gmet_1717	R_HACD3	iAF987		0.0
P_Gmet_1717	R_HACD4	iAF987		0.0
P_Gmet_1717	R_HACD5	iAF987		0.0
P_Gmet_1717	R_HACD6	iAF987		0.0
P_Gmet_1717	R_HACD7	iAF987		0.0
P_Gmet_1717	R_HACD8	iAF987		0.0
P_Gmet_1717	R_HVCD	iAF987		0.0
P_Gmet_1719	R_ACACT1r	iAF987		0.0
P_Gmet_1719	R_ACACT2r	iAF987		0.0
P_Gmet_1719	R_ACACT3r	iAF987		0.0
P_Gmet_1719	R_ACACT4r	iAF987		0.0
P_Gmet_1719	R_ACACT5r	iAF987		0.0
P_Gmet_1719	R_ACACT6r	iAF987		0.0
P_Gmet_1719	R_ACACT7r	iAF987		0.0
P_Gmet_1719	R_ACACT8r	iAF987		0.0
P_Gmet_1719	R_VCACT	iAF987		0.0
P_Gmet_1730	R_SUCOAACTr	iAF987		0.0
P_Gmet_1736	R_GLUTRS	iAF987		0.0
P_Gmet_1738	R_NH4t4pp	iAF987		0.0
P_Gmet_1750	R_MLDEP1pp	iAF987		0.0
P_Gmet_1750	R_MLDEP2pp	iAF987		0.0
P_Gmet_1752+Gmet_1753+Gmet_1754+Gmet_1755+Gmet_1756	R_GLUSx	iAF987		0.0
P_Gmet_1759	R_PTPATi	iAF987		0.0
P_Gmet_1761	R_FBA	iAF987		0.0
P_Gmet_1762	R_NTPTP1	iAF987		0.0
P_Gmet_1768	R_UPPRT	iAF987		0.0
P_Gmet_1769	R_ASPCT	iAF987		0.0
P_Gmet_1770	R_DHORTS	iAF987		0.0
P_Gmet_1771+Gmet_1774	R_CBPS	iAF987		0.0
P_Gmet_1790	R_ADPRDP	iAF987		0.0
P_Gmet_1790	R_DNTPPA	iAF987		0.0
P_Gmet_1809+Gmet_1810+Gmet_1811	R_CYTMQOR3pp	iAF987		0.0
P_Gmet_1818	R_PACCOAL	iAF987		0.0
P_Gmet_1819+Gmet_1820+Gmet_1821+Gmet_1822+Gmet_1823	R_ILEabcpp	iAF987		0.0
P_Gmet_1819+Gmet_1820+Gmet_1821+Gmet_1822+Gmet_1823	R_LEUabcpp	iAF987		0.0
P_Gmet_1819+Gmet_1820+Gmet_1821+Gmet_1822+Gmet_1823	R_VALabcpp	iAF987		0.0
P_Gmet_1825	R_PACCOAL	iAF987		0.0
P_Gmet_1829	R_PIt7ipp	iAF987		0.0
P_Gmet_1832	R_2OBUTtex	iAF987		0.0
P_Gmet_1832	R_3MBtex	iAF987		0.0
P_Gmet_1832	R_4HBALDtex	iAF987		0.0
P_Gmet_1832	R_4HBAtex	iAF987		0.0
P_Gmet_1832	R_4HBZtex	iAF987		0.0
P_Gmet_1832	R_ACtex	iAF987		0.0
P_Gmet_1832	R_ASO4tex	iAF987		0.0
P_Gmet_1832	R_BTOHtex	iAF987		0.0
P_Gmet_1832	R_BUTSO3tex	iAF987		0.0
P_Gmet_1832	R_BUTtex	iAF987		0.0
P_Gmet_1832	R_BZALCtex	iAF987		0.0
P_Gmet_1832	R_BZALtex	iAF987		0.0
P_Gmet_1832	R_BZtex	iAF987		0.0
P_Gmet_1832	R_CA2tex	iAF987		0.0
P_Gmet_1832	R_CD2tex	iAF987		0.0
P_Gmet_1832	R_CLtex	iAF987		0.0
P_Gmet_1832	R_CO2tex	iAF987		0.0
P_Gmet_1832	R_COBALT2tex	iAF987		0.0
P_Gmet_1832	R_CRO4tex	iAF987		0.0
P_Gmet_1832	R_CU2tex	iAF987		0.0
P_Gmet_1832	R_CUtex	iAF987		0.0
P_Gmet_1832	R_ETHSO3tex	iAF987		0.0
P_Gmet_1832	R_ETOHtex	iAF987		0.0
P_Gmet_1832	R_FE2tex	iAF987		0.0
P_Gmet_1832	R_FE3tex	iAF987		0.0
P_Gmet_1832	R_FORtex	iAF987		0.0
P_Gmet_1832	R_GALURtex	iAF987		0.0
P_Gmet_1832	R_GLCURtex	iAF987		0.0
P_Gmet_1832	R_GLYCtex	iAF987		0.0
P_Gmet_1832	R_GUAtex	iAF987		0.0
P_Gmet_1832	R_H2Otex	iAF987		0.0
P_Gmet_1832	R_H2tex	iAF987		0.0
P_Gmet_1832	R_HYXNtex	iAF987		0.0
P_Gmet_1832	R_Htex	iAF987		0.0
P_Gmet_1832	R_IBTtex	iAF987		0.0
P_Gmet_1832	R_ILEtex	iAF987		0.0
P_Gmet_1832	R_ISETACtex	iAF987		0.0
P_Gmet_1832	R_Ktex	iAF987		0.0
P_Gmet_1832	R_LCYSTtex	iAF987		0.0
P_Gmet_1832	R_LEUtex	iAF987		0.0
P_Gmet_1832	R_LYStex	iAF987		0.0
P_Gmet_1832	R_MEOHtex	iAF987		0.0
P_Gmet_1832	R_MG2tex	iAF987		0.0
P_Gmet_1832	R_MNtex	iAF987		0.0
P_Gmet_1832	R_MOBDtex	iAF987		0.0
P_Gmet_1832	R_MSO3tex	iAF987		0.0
P_Gmet_1832	R_N2tex	iAF987		0.0
P_Gmet_1832	R_NAtex	iAF987		0.0
P_Gmet_1832	R_NH4tex	iAF987		0.0
P_Gmet_1832	R_NI2tex	iAF987		0.0
P_Gmet_1832	R_NO2tex	iAF987		0.0
P_Gmet_1832	R_NO3tex	iAF987		0.0
P_Gmet_1832	R_OXFOtex	iAF987		0.0
P_Gmet_1832	R_PHENOLtex	iAF987		0.0
P_Gmet_1832	R_PItex	iAF987		0.0
P_Gmet_1832	R_PPAtex	iAF987		0.0
P_Gmet_1832	R_PPOHtex	iAF987		0.0
P_Gmet_1832	R_PTAtex	iAF987		0.0
P_Gmet_1832	R_PYRtex	iAF987		0.0
P_Gmet_1832	R_SO3tex	iAF987		0.0
P_Gmet_1832	R_SO4tex	iAF987		0.0
P_Gmet_1832	R_SULFACtex	iAF987		0.0
P_Gmet_1832	R_TAURtex	iAF987		0.0
P_Gmet_1832	R_TOLtex	iAF987		0.0
P_Gmet_1832	R_TSULtex	iAF987		0.0
P_Gmet_1832	R_VALtex	iAF987		0.0
P_Gmet_1832	R_Zn2tex	iAF987		0.0
P_Gmet_1841+Gmet_1842	R_DHORD5	iAF987		0.0
P_Gmet_1844	R_PRAIS	iAF987		0.0
P_Gmet_1845	R_GARFT	iAF987		0.0
P_Gmet_1854	R_MLDEP1pp	iAF987		0.0
P_Gmet_1854	R_MLDEP2pp	iAF987		0.0
P_Gmet_1875	R_NTPP10	iAF987		0.0
P_Gmet_1875	R_NTPP11	iAF987		0.0
P_Gmet_1880	R_ASPK	iAF987		0.0
P_Gmet_1885+Gmet_3404	R_PDX5PS	iAF987		0.0
P_Gmet_1886	R_PGAMT	iAF987		0.0
P_Gmet_1889	R_DHPS2	iAF987		0.0
P_Gmet_1896	R_GCCc	iAF987		0.0
P_Gmet_1896+Gmet_2509+Gmet_2510+Gmet_2511	R_OBDHc	iAF987		0.0
P_Gmet_1896+Gmet_2509+Gmet_2510+Gmet_2511	R_OIVD1r	iAF987		0.0
P_Gmet_1896+Gmet_2509+Gmet_2510+Gmet_2511	R_OIVD2	iAF987		0.0
P_Gmet_1896+Gmet_2509+Gmet_2510+Gmet_2511	R_OIVD3	iAF987		0.0
P_Gmet_1896+Gmet_2752+Gmet_2753+Gmet_2760	R_PDH	iAF987		0.0
P_Gmet_1896+Gmet_2766+Gmet_2769	R_AKGDH	iAF987		0.0
P_Gmet_1897	R_PRAMPC	iAF987		0.0
P_Gmet_1897	R_PRATPP	iAF987		0.0
P_Gmet_1898	R_ATPPRT	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_BUTSO3abcpp	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_ETHSO3abcpp	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_ISETACabcpp	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_LCYSTabcpp	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_MSO3abcpp	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_SULFACabcpp	iAF987		0.0
P_Gmet_1899+Gmet_1900+Gmet_1901	R_TAURabcpp	iAF987		0.0
P_Gmet_1903+Gmet_1904+Gmet_1905+Gmet_1906	R_CRO4abcpp	iAF987		0.0
P_Gmet_1903+Gmet_1904+Gmet_1905+Gmet_1906	R_MOBDabcpp	iAF987		0.0
P_Gmet_1903+Gmet_1904+Gmet_1905+Gmet_1906	R_SO3abcpp	iAF987		0.0
P_Gmet_1903+Gmet_1904+Gmet_1905+Gmet_1906	R_SULabcpp	iAF987		0.0
P_Gmet_1903+Gmet_1904+Gmet_1905+Gmet_1906	R_TSULabcpp	iAF987		0.0
P_Gmet_1912	R_ACONTa	iAF987		0.0
P_Gmet_1912	R_ACONTb	iAF987		0.0
P_Gmet_1912	R_MICITDr	iAF987		0.0
P_Gmet_1914	R_DGUNC	iAF987		0.0
P_Gmet_1917	R_DGUNC	iAF987		0.0
P_Gmet_1919	R_CDGUNPD	iAF987		0.0
P_Gmet_1921	R_FBP	iAF987		0.0
P_Gmet_1922+Gmet_1923+Gmet_1924	R_CYTMQOR3pp	iAF987		0.0
P_Gmet_1929+Gmet_1930+Gmet_2633+Gmet_2634	R_CYTBD2pp	iAF987		0.0
P_Gmet_1934	R_DXPS	iAF987		0.0
P_Gmet_1935	R_DMATT	iAF987		0.0
P_Gmet_1935	R_GRTT	iAF987		0.0
P_Gmet_1938	R_ORPT	iAF987		0.0
P_Gmet_1939	R_GLUPRT	iAF987		0.0
P_Gmet_1940+Gmet_1941	R_PRFGS	iAF987		0.0
P_Gmet_1943	R_ADSL1r	iAF987		0.0
P_Gmet_1943	R_ADSL2r	iAF987		0.0
P_Gmet_1946	R_E4PD	iAF987		0.0
P_Gmet_1946	R_GAPD	iAF987		0.0
P_Gmet_1947	R_PGK	iAF987		0.0
P_Gmet_1948	R_TPI	iAF987		0.0
P_Gmet_1952	R_PGSA120	iAF987		0.0
P_Gmet_1952	R_PGSA140	iAF987		0.0
P_Gmet_1952	R_PGSA141	iAF987		0.0
P_Gmet_1952	R_PGSA160	iAF987		0.0
P_Gmet_1952	R_PGSA161	iAF987		0.0
P_Gmet_1952	R_PGSA180	iAF987		0.0
P_Gmet_1952	R_PGSA181	iAF987		0.0
P_Gmet_1953	R_MLTGY1pp	iAF987		0.0
P_Gmet_1953	R_MLTGY2pp	iAF987		0.0
P_Gmet_1953	R_MLTGY3pp	iAF987		0.0
P_Gmet_1953	R_MLTGY4pp	iAF987		0.0
P_Gmet_1954	R_ASPO2	iAF987		0.0
P_Gmet_1955	R_CHORM	iAF987		0.0
P_Gmet_1955	R_PPNDH	iAF987		0.0
P_Gmet_1986	R_PNTK	iAF987		0.0
P_Gmet_1988	R_NNDPR	iAF987		0.0
P_Gmet_1989	R_NADPC	iAF987		0.0
P_Gmet_1991	R_CDGUNPD	iAF987		0.0
P_Gmet_2006	R_SELCYSLY3	iAF987		0.0
P_Gmet_2020	R_FACOAL40It2pp	iAF987		0.0
P_Gmet_2020	R_FACOAL40t2pp	iAF987		0.0
P_Gmet_2020	R_FACOAL50It2pp	iAF987		0.0
P_Gmet_2020	R_FACOAL50t2pp	iAF987		0.0
P_Gmet_2024	R_ASNS1	iAF987		0.0
P_Gmet_2054	R_OCOAT1	iAF987		0.0
P_Gmet_2054	R_OCOAT2r	iAF987		0.0
P_Gmet_2057	R_CTECOAI6	iAF987		0.0
P_Gmet_2057	R_CTECOAI7	iAF987		0.0
P_Gmet_2057	R_CTECOAI8	iAF987		0.0
P_Gmet_2057	R_ECOAH1	iAF987		0.0
P_Gmet_2057	R_ECOAH2	iAF987		0.0
P_Gmet_2057	R_ECOAH3	iAF987		0.0
P_Gmet_2057	R_ECOAH4	iAF987		0.0
P_Gmet_2057	R_ECOAH5	iAF987		0.0
P_Gmet_2057	R_ECOAH6	iAF987		0.0
P_Gmet_2057	R_ECOAH7	iAF987		0.0
P_Gmet_2057	R_ECOAH8	iAF987		0.0
P_Gmet_2057	R_VECOAH	iAF987		0.0
P_Gmet_2065+Gmet_2066+Gmet_2067	R_FADMQOR	iAF987		0.0
P_Gmet_2068+Gmet_2069	R_SUCOAS	iAF987		0.0
P_Gmet_2070+Gmet_2152+Gmet_2153	R_FADMQOR	iAF987		0.0
P_Gmet_2071	R_CTECOAI6	iAF987		0.0
P_Gmet_2071	R_CTECOAI7	iAF987		0.0
P_Gmet_2071	R_CTECOAI8	iAF987		0.0
P_Gmet_2071	R_ECOAH1	iAF987		0.0
P_Gmet_2071	R_ECOAH2	iAF987		0.0
P_Gmet_2071	R_ECOAH3	iAF987		0.0
P_Gmet_2071	R_ECOAH4	iAF987		0.0
P_Gmet_2071	R_ECOAH5	iAF987		0.0
P_Gmet_2071	R_ECOAH6	iAF987		0.0
P_Gmet_2071	R_ECOAH7	iAF987		0.0
P_Gmet_2071	R_ECOAH8	iAF987		0.0
P_Gmet_2071	R_VECOAH	iAF987		0.0
P_Gmet_2072	R_HACD1	iAF987		0.0
P_Gmet_2072	R_HACD2	iAF987		0.0
P_Gmet_2072	R_HACD3	iAF987		0.0
P_Gmet_2072	R_HACD4	iAF987		0.0
P_Gmet_2072	R_HACD5	iAF987		0.0
P_Gmet_2072	R_HACD6	iAF987		0.0
P_Gmet_2072	R_HACD7	iAF987		0.0
P_Gmet_2072	R_HACD8	iAF987		0.0
P_Gmet_2072	R_HVCD	iAF987		0.0
P_Gmet_2074	R_ACACT1r	iAF987		0.0
P_Gmet_2074	R_ACACT2r	iAF987		0.0
P_Gmet_2074	R_ACACT3r	iAF987		0.0
P_Gmet_2074	R_ACACT4r	iAF987		0.0
P_Gmet_2074	R_ACACT5r	iAF987		0.0
P_Gmet_2074	R_ACACT6r	iAF987		0.0
P_Gmet_2074	R_ACACT7r	iAF987		0.0
P_Gmet_2074	R_ACACT8r	iAF987		0.0
